topic,news_sentiment,news_volume,eksi_sentiment,eksi_volume,avg_favorites,google_trends,date
national,-0.4295,1.0,0.9782,1.0,0.0,9.857142857142858,2025-05-19
national,0.15826666666666664,3.0,-0.9654,1.0,0.0,12.857142857142858,2025-05-26
national,-0.9358,1.0,0.36576666666666663,3.0,0.0,11.142857142857142,2025-06-02
national,0.5619000000000001,2.0,-0.08062,5.0,0.0,4.857142857142857,2025-06-09
national,0.95685,2.0,-0.44880000000000003,6.0,0.0,4.0,2025-06-16
national,-0.43210000000000004,4.0,-0.10398333333333333,6.0,0.0,12.571428571428571,2025-06-23
national,-0.1008,5.0,0.060066666666666664,9.0,0.0,11.0,2025-06-30
national,-0.6545,2.0,-0.9987,1.0,0.0,4.428571428571429,2025-07-07
national,0.07947499999999999,4.0,-0.9531333333333333,6.0,0.0,3.4285714285714284,2025-07-14
national,0.4544153846153846,13.0,-0.97628,5.0,0.0,5.857142857142857,2025-07-21
national,0.08193999999999999,5.0,,,,5.714285714285714,2025-07-28
national,0.040610000000000014,10.0,-0.50805,4.0,0.0,28.0,2025-08-04
national,-0.029199999999999986,7.0,-0.338125,4.0,0.0,24.857142857142858,2025-08-11
national,0.302475,4.0,-0.9897,2.0,0.0,9.571428571428571,2025-08-18
national,-0.2019,3.0,0.585475,4.0,0.0,6.571428571428571,2025-08-25
national,0.29700000000000004,4.0,,,,6.857142857142857,2025-09-01
national,0.09426,5.0,-0.8096,1.0,0.0,6.142857142857143,2025-09-08
national,-0.4717333333333333,9.0,,,,8.571428571428571,2025-09-15
national,0.40726666666666667,3.0,-0.7039714285714285,7.0,0.0,21.142857142857142,2025-09-22
national,0.8321,1.0,-0.145125,4.0,0.0,17.714285714285715,2025-09-29
national,0.08443999999999999,5.0,0.9807,1.0,0.0,7.142857142857143,2025-10-06
national,0.3688875,8.0,0.15893333333333332,3.0,0.0,5.571428571428571,2025-10-13
national,-0.28196666666666664,6.0,0.025550000000000017,2.0,0.0,28.285714285714285,2025-10-20
national,0.53879,10.0,-0.410875,4.0,0.0,27.285714285714285,2025-10-27
national,-0.21556666666666666,6.0,-0.5369666666666667,3.0,0.0,15.714285714285714,2025-11-03
national,-0.20605,10.0,-0.3593578947368421,38.0,0.0,11.285714285714286,2025-11-10
national,0.20072500000000001,4.0,-0.05744999999999998,4.0,0.0,5.857142857142857,2025-11-17
national,0.050850000000000006,4.0,-0.11453333333333333,6.0,0.0,4.428571428571429,2025-11-24
national,-0.10247999999999999,5.0,-0.13029999999999997,3.0,0.0,8.0,2025-12-01
national,0.44060000000000005,6.0,0.01824999999999999,2.0,0.0,7.571428571428571,2025-12-08
national,-0.08065000000000001,8.0,,,,4.428571428571429,2025-12-15
national,0.21024444444444443,9.0,-0.3583,4.0,0.0,4.571428571428571,2025-12-22
